Designator,Mid X,Mid Y,Rotation,Layer
C1,138.6925,-127.25,0.0,bottom
C10,137.0325,-130.85,0.0,bottom
C11,139.13,-138.5,0.0,bottom
C14,-18.787322,-76.672,90.0,top
C15,-16.7375,-76.65,90.0,top
C16,-13.7375,-76.65,90.0,top
C17,280.6,-64.1,90.0,bottom
C18,290.17,-54.1,180.0,bottom
C19,282.3,-54.6,90.0,bottom
C2,138.6625,-128.45,0.0,bottom
C20,-8.9375,-61.072,270.0,bottom
C21,10.0625,-61.05,270.0,bottom
C22,29.2625,-61.05,270.0,bottom
C23,48.2625,-61.05,270.0,bottom
C24,67.2625,-61.05,270.0,bottom
C25,86.2625,-61.072,270.0,bottom
C26,105.4625,-61.05,270.0,bottom
C27,124.4,-61.05,270.0,bottom
C28,143.4625,-61.05,270.0,bottom
C29,162.4625,-61.05,270.0,bottom
C3,151.0625,-127.45,180.0,bottom
C30,181.4625,-61.05,270.0,bottom
C31,200.4625,-61.05,270.0,bottom
C32,219.6625,-61.05,270.0,bottom
C33,248.2625,-61.05,270.0,bottom
C34,-4.3375,-80.072,270.0,bottom
C35,19.4625,-80.072,270.0,bottom
C36,38.6625,-80.05,270.0,bottom
C37,57.6625,-80.05,270.0,bottom
C38,76.6625,-80.05,270.0,bottom
C39,95.8625,-80.05,270.0,bottom
C4,153.8625,-137.2,180.0,bottom
C40,114.8625,-80.05,270.0,bottom
C41,133.8625,-80.05,270.0,bottom
C42,152.8625,-80.05,270.0,bottom
C43,172.0625,-80.05,270.0,bottom
C44,191.0625,-80.05,270.0,bottom
C45,210.0625,-80.05,270.0,bottom
C46,229.2625,-80.0,270.0,bottom
C47,253.0625,-80.05,270.0,bottom
C49,-1.9375,-99.05,270.0,bottom
C5,140.2625,-140.65,270.0,bottom
C50,24.4625,-99.05,270.0,bottom
C51,43.4625,-99.05,270.0,bottom
C52,62.4625,-99.05,270.0,bottom
C53,81.4625,-99.05,270.0,bottom
C54,100.6625,-99.072,270.0,bottom
C55,119.6625,-99.05,270.0,bottom
C56,138.8625,-99.05,270.0,bottom
C57,157.8625,-99.05,270.0,bottom
C58,176.8625,-99.05,270.0,bottom
C59,196.0625,-99.05,270.0,bottom
C6,271.238477,-78.995152,180.0,bottom
C60,215.0625,-99.05,270.0,bottom
C61,245.8625,-99.05,270.0,bottom
C62,283.63125,-99.0,270.0,bottom
C63,3.0625,-118.05,270.0,bottom
C64,33.8625,-118.25,270.0,bottom
C65,52.8625,-118.25,270.0,bottom
C66,71.8625,-118.25,270.0,bottom
C67,91.0625,-118.25,270.0,bottom
C68,110.0625,-118.25,270.0,bottom
C69,129.0625,-118.25,270.0,bottom
C7,277.9,-65.0,90.0,bottom
C70,148.2625,-118.25,270.0,bottom
C71,167.2625,-118.25,270.0,bottom
C72,186.2625,-118.25,270.0,bottom
C73,205.2625,-118.25,270.0,bottom
C74,231.4625,-118.25,270.0,bottom
C75,257.8625,-118.25,270.0,bottom
C76,283.5375,-118.1875,270.0,bottom
C77,-6.5375,-137.25,270.0,bottom
C78,17.2625,-137.25,270.0,bottom
C79,41.0625,-137.25,270.0,bottom
C8,82.0,-126.6,180.0,bottom
C80,112.4625,-137.25,270.0,bottom
C81,183.8625,-137.228,270.0,bottom
C82,207.6625,-137.25,270.0,bottom
C83,238.4625,-137.25,270.0,bottom
C84,257.6625,-137.25,270.0,bottom
C85,276.6625,-137.25,270.0,bottom
C86,302.5125,-98.9,270.0,bottom
C87,302.5375,-118.1875,270.0,bottom
C9,82.0,-125.45,180.0,bottom
D1,4.6625,-56.65,90.0,bottom
D10,176.0625,-56.9,90.0,bottom
D11,195.0625,-56.65,90.0,bottom
D12,214.2625,-56.65,90.0,bottom
D13,233.2625,-56.65,90.0,bottom
D14,261.575,-56.65,90.0,bottom
D15,9.1625,-75.85,90.0,bottom
D16,32.975,-75.85,90.0,bottom
D17,52.025,-75.85,90.0,bottom
D18,71.0625,-75.85,90.0,bottom
D19,90.125,-75.85,90.0,bottom
D2,23.6625,-56.65,90.0,bottom
D20,109.15,-75.85,90.0,bottom
D21,128.225,-75.85,90.0,bottom
D22,147.275,-75.8,90.0,bottom
D23,166.325,-75.85,90.0,bottom
